lemma,subset,n_occurrences,n_senses,gold_k,n_visual_anchors,anchor_wnids,retained_senses
act,text_only,64,3,3,0,,act.n.01;act.n.02;act.n.03
action,text_only,114,3,3,0,,action.n.01;action.n.02;military_action.n.01
activity,text_only,92,3,3,0,,action.n.02;activity.n.01;bodily_process.n.01
age,text_only,98,2,2,0,,age.n.01;historic_period.n.01
air,text_only,49,2,2,0,,air.n.01;air.n.02
amount,text_only,97,3,3,0,,amount.n.02;measure.n.02;sum.n.01
answer,text_only,58,3,3,0,,answer.n.01;answer.n.03;solution.n.02
area,text_only,208,5,5,0,,area.n.01;area.n.02;area.n.03;area.n.05;sphere.n.01
art,text_only,64,2,2,0,,art.n.01;art.n.02
aspect,text_only,40,2,2,0,,aspect.n.01;aspect.n.02
attention,text_only,60,2,2,0,,attention.n.01;care.n.01
audience,text_only,66,2,2,0,,audience.n.01;audience.n.02
back,text_only,43,2,2,0,,back.n.01;rear.n.05
basis,text_only,66,2,2,0,,basis.n.02;footing.n.02
behavior,text_only,46,3,3,0,,behavior.n.01;behavior.n.02;demeanor.n.01
board,text_only,44,2,2,0,,board.n.01;board.n.02
body,text_only,95,2,2,0,,body.n.01;body.n.02
book,text_only,56,2,2,0,,book.n.01;book.n.02
boy,text_only,168,3,3,0,,boy.n.02;male_child.n.01;son.n.01
business,text_only,81,5,5,0,,business.n.01;business.n.04;business.n.05;commercial_enterprise.n.02;occupation.n.01
case,text_only,127,4,4,0,,case.n.01;case.n.04;event.n.02;lawsuit.n.01
cell,text_only,115,2,2,0,,cell.n.01;cell.n.02
center,text_only,64,2,2,0,,center.n.01;center_field.n.01
change,text_only,103,4,4,0,,change.n.01;change.n.02;change.n.03;change.n.04
character,text_only,46,4,4,0,,character.n.03;character.n.04;fictional_character.n.01;quality.n.03
child,text_only,206,2,2,0,,child.n.01;child.n.02
church,text_only,128,3,3,0,,church.n.01;church.n.02;church_service.n.01
city,text_only,116,2,2,0,,city.n.01;city.n.02
company,text_only,74,2,2,0,,company.n.01;company.n.02
condition,text_only,81,2,2,0,,condition.n.01;condition.n.02
corner,text_only,51,4,4,0,,corner.n.01;corner.n.02;corner.n.03;corner.n.04
country,text_only,109,4,4,0,,country.n.02;country.n.04;nation.n.02;state.n.04
course,text_only,94,4,4,0,,course.n.01;course.n.02;course.n.03;course.n.04
