lemma,n,gold_k,grounded,q1_all,q1_nam,ctl_all,ctl_nam,ari_text_o,ari_merge_o,ari_text_u,ari_merge_u,gain_nam
body,181,3,4,0.0,,0.0,,0.9291354893953047,0.0,0.92762035138245,0.0,
cell,69,2,4,0.0,,0.0,,1.0,1.0,0.9522506268975424,0.9427349921117386,
chip,106,2,3,0.0,,0.0,,0.5369151451719192,0.0,0.5020249805625074,0.0,
community,189,4,2,0.0,,0.0,,0.3591999425687237,0.3960276004244881,0.33755502620557304,0.39425727762077384,
field,143,4,5,0.0,,0.0,,0.43905491053601214,0.0,0.773617467268078,0.0,
foundation,48,2,2,0.0,,0.0,,1.0,0.0,1.0,0.0,
gap,45,2,2,0.0,,0.0,,-0.0231980115990058,0.0,-0.0231980115990058,0.0,
gas,117,2,2,0.0,,0.0,,0.8196591359492669,0.0,0.8196591359492669,0.0,
house,150,3,3,0.0,,0.0,,0.924946233064037,0.0,0.924946233064037,0.0,
market,862,5,2,0.0,,0.0,,0.2550120040107236,0.0,0.29989181991470276,0.0,
movement,58,2,2,0.0,,0.0,,0.7988103220495388,0.0,0.7988103220495388,0.0,
officer,187,3,3,0.0,,0.0,,0.8394384164241806,0.4581503275334572,0.6173598220877602,0.0,
park,41,3,2,0.0,,0.0,,0.7245800153587535,0.0,0.28961461724246557,0.0,
television,161,3,3,0.0,,0.0,,0.022027165031714917,-0.0030168803943124226,0.05342488695185442,-0.0036285051122151904,
